Material Number,Material_Key__c,Description,Multi_Use_Demo__c
51158,51158-US60-10,COTTLE OSTEOTOME 12MM ROUNDED,TRUE
51190,51190-US60-10,ANDERSON-NIEVERT OSTEOTOME RIGHT,TRUE
51191,51191-US60-10,ANDERSON-NIEVERT OSTEOTOME LEFT,TRUE
51195,51195-US60-10,ANDERSON-NIEVERT OSTEOTOME STRAIGHT,TRUE
51510,51510-US60-10,"MALLET SOLID COPPER HEAD 6.5""",TRUE
51520,51520-US60-10,"MALLET SS & NYLON 1"" HEAD 7.25""",TRUE
51521,51521-US60-10,"EXTRA NYLON FACE 1""",TRUE
51525,51525-US60-10,"MALLET SS & 1.25"" NYLON HEAD 7.25""",TRUE
51526,51526-US60-10,"INSERT MALLET FACE NYLON 1.25""",TRUE
52100,52100-US60-10,MALTZ RASP,TRUE
52130,52130-US60-10,COTTLE DOWN CUTTING,TRUE
52162,52162-US60-10,AUFRICHT CVD UP CUTTING,TRUE
52165,52165-US60-10,GLABELLA RASP TUNG CARBIDE,TRUE
52180,52180-US60-10,CONVERSE D/E RASP,TRUE
53102,53102-US60-10,MCKENTY CVD TIP 5MM,TRUE
53115,53115-US60-10,BOIES NASAL ELEV STR 9MM,TRUE
53120,53120-US60-10,JOSEPH ELEVATOR CVD TIP 4MM,TRUE
53135,53135-US60-10,COTTLE DBL/END ELEVATOR,TRUE
54015,54015-US60-10,HOOK TYRELL SHARP 1.3MM,TRUE
54016,54016-US60-10,HOOK TYRELL BLUNT 1.3MM,TRUE
54100,54100-US60-10,JOSEPH SHARP SINGLE,TRUE
54102,54102-US60-10,HOOK JOSEPH SHARP DBL 2MM,TRUE
54105,54105-US60-10,HOOK JOSEPH SHARP DBL 5MM,TRUE
54107,54107-US60-10,HOOK JOSEPH SHARP DBL 7MM,TRUE
54110,54110-US60-10,HOOK JOSEPH SHARP DBL 10MM,TRUE
54120,54120-US60-10,HOOK COTTLE-JOSEPH 12MM,TRUE
54125,54125-US60-10,JOHNSON SKIN SINGLE,TRUE
54126,54126-US60-10,GUTHRIE SKIN DBLE 2MM,TRUE
54128,54128-US60-10,GILLES SKIN SM 3MM,TRUE
54130,54130-US60-10,GILLES SKIN LG 4MM,TRUE
54135,54135-US60-10,COTTLE SKIN SINGLE 1MM,TRUE
54140,54140-US60-10,KLEINERT-KUTZ SINGLE SML 3MM,TRUE
54142,54142-US60-10,KLEINERT-KUTZ SINGLE MED 5MM,TRUE
54144,54144-US60-10,HOOK SKIN KLEINERT-KUTZ LG 7MM,TRUE
54165,54165-US60-10,"TRACHEAL HOOK SHRP 7X1 MM 8.0""",TRUE
54500,54500-US60-10,"FOMON BALL TIPS DOUBLE 6.0""",TRUE
54590,54590-US60-10,"RETR SENN-KANAVEL DEL 6.5""",TRUE
54600,54600-US60-10,"RAGNELL D/E RETRACTOR 5.75""",TRUE
54620,54620-US60-10,"S RETRACTOR D/E 5.5""",TRUE
54720,54720-US60-10,"AUFRICT NASAL 45MM BLD 7.5""",TRUE
55100,55100-US60-10,"IRIS SCISSORS, ST",TRUE
55102,55102-US60-10,"SCIS IRIS CVD DEL 15MM TIP 3.5""",TRUE
55135,55135-US60-10,"NH DERF 4.75"" TC",TRUE
55200,55200-US60-10,"BROWN NEEDLE HOLDER 5.25""",TRUE
55502,55502-US60-10,IRIS SCISSORS W/BAR HAND CVD,TRUE
56110,56110-US60-10,TEN STEVENS SCS CVD 20MM TIP 13CM,TRUE
56120,56120-US60-10,"SCIS WECK SUTURE 4.75""",TRUE
56200,56200-US60-10,"SCIS PLASTIC STR 4.75""",TRUE
56201,56201-US60-10,"SCIS PLASTIC CVD 4.75""",TRUE
56302,56302-US60-10,"RHINOPLASTY FLAT TIP 5.25""",TRUE
56310,56310-US60-10,"BABY METZENBAUM SCISSORS CVD 5.75""",TRUE
56360,56360-US60-10,"FOMON LOWER LAT CVD 5.0""",TRUE
56400,56400-US60-10,"FOMON SCISSORS ANG STR SMOOTH BLADE 5.5""",TRUE
56650,56650-US60-10,RUBIN SEPTAL MORS D/A,TRUE
57150,57150-US60-10,ALLIGATOR DISS FCPS,TRUE
57200,57200-US60-10,"ADSON DRESSING FCPS STD 5""",TRUE
57202,57202-US60-10,"ADSON DRESSING FCPS DEL 5""",TRUE
57205,57205-US60-10,"ADSON DRESSING FORCEPS 4.75""",TRUE
57207,57207-US60-10,"FCPS TISSUE ADSON 1 X 2 TTH 4.75""",TRUE
57210,57210-US60-10,"FCPS TISSUE ADSON 1 X 2 TTH 5""",TRUE
57212,57212-US60-10,"FCPS TISSUE ADSON 1 X 2 TTH DEL 5""",TRUE
57214,57214-US60-10,FCPS ADSON X-DEL 0.7MM 2 X 1 TTH,TRUE
57215,57215-US60-10,"HUDSON TISSUE FCPS 1X2 HVY 5.0""",TRUE
57220,57220-US60-10,"CALLISON ADSON TISSUE FCP 1X2 4.75""",TRUE
57230,57230-US60-10,"ADSON TISSUE FORCEPS 4.75"" 2X3",TRUE
57250,57250-US60-10,"BROWN ADSON TISSUE FCPS 4.75"" 7X7 TEETH",TRUE
57302,57302-US60-10,"BEASLEY BABCOCK TISSUE FCPS 5""",TRUE
57320,57320-US60-10,"CARMALT SPLINTER FCPS STR 4.5""",TRUE
60100,60100-US60-10,"SKIN RETRACTOR LT ANGLE 3.9""",TRUE
60101,60101-US60-10,"SKIN RETRACTOR STRONG ANGLE 3.5""",TRUE
60105,60105-US60-10,"SKIN RETRACTOR LONG 4.9""",TRUE
60120,60120-US60-10,SISSON NERVE HOOK ANG.,TRUE
65100,65100-US60-10,KK MICRO CLIP STR 3MMX1MM BLADES,TRUE
65105,65105-US60-10,KK MICRO CLIP STR 5MMX1MM BLADES,TRUE
65108,65108-US60-10,TEMP OCC CLIP 8MM X 1.5 MM BLADES,TRUE
65109,65109-US60-10,TEMP OCC CLIP 12MM X 2 MM BLADES,TRUE
65110,65110-US60-10,BRACHIAL LG VESSEL CLIP STRAIGHT,TRUE
65111,65111-US60-10,LARGE VESSEL CLIP 24MM TAPERED BLADES,TRUE
65125,65125-US60-10,KK MICRO CLIP ANG 5MM X 1MM BLADES,TRUE
65145,65145-US60-10,KK MICRO CLIP CVD 6MM X 1MM BLADES,TRUE
65151,65151-US60-10,VAN BEEK APPROX LG.,TRUE
65152,65152-US60-10,VAN BEEK NERVE APPROX SM.,TRUE
65155,65155-US60-10,"KK APPLIER 2""",TRUE
65165,65165-US60-10,"APPROXIMATOR MICRO VESSEL BAR 0.50""",TRUE
65166,65166-US60-10,MINI WECK APPROX. 5MM X 1.0MM BLADES,TRUE
65170,65170-US60-10,"ANAST APPROX 19MM, 7.5MM X 1.5MM BLADES",TRUE
65172,65172-US60-10,LOUISVILLE CLAMP 8MM X 1.5MM,TRUE
65173,65173-US60-10,MINI LOUISVILLE APPROX 5MM X 1MM,TRUE
65175,65175-US60-10,ANGLED APPLIER,TRUE
65181,65181-US60-10,VAS APPROX 15.0MM BLADES X 2MM CUPS,TRUE
65190,65190-US60-10,ULNAR RADIAL APPROX. 12MM X 2MM,TRUE
65195,65195-US60-10,LARGE VESSEL APPROX. 15MM BLADES,TRUE
65196,65196-US60-10,LARGE VESS APP 15MM TAPERED BLADES,TRUE
65199,65199-US60-10,MICRO CLIP ST TRAY,TRUE
65202,65202-US60-10,KK SYNOVECTOMY RONG ST C,TRUE
65212,65212-US60-10,KK D/A RONG LT CV LARGE,TRUE
65300,65300-US60-10,KK ELEVATOR CURETTE D/E,TRUE
65325,65325-US60-10,CARROLL TENDON RETRIEVER,TRUE
66100,66100-US60-10,"SCIS DIGITATE STR 5.75""",TRUE
66102,66102-US60-10,"SCIS DIGITATE CVD 5.75""",TRUE
66104,66104-US60-10,"DIGITATE SCISSORS, ST",TRUE
66200,66200-US60-10,"NH DIGITATE STR 5.75""",TRUE
66204,66204-US60-10,"NH DIGITATE CRVD 5.75""",TRUE
70100,70100-US60-10,"TONGUE DEPR WIEDER FEN SERR 5.5""",TRUE
70101,70101-US60-10,"TONGUE DEPR WIEDER FEN SERR 6""",TRUE
70107,70107-US60-10,ANDREWS DEPRESSOR LARGE,TRUE
70114,70114-US60-10,"NEWS TRACHEA RETR SHARP 5-7/8"" (15CM)",TRUE
70116,70116-US60-10,RETR JACKSON TRACHEA,TRUE
70140,70140-US60-10,LOTHROP UVULA RETRACTOR,TRUE
70202,70202-US60-10,JENNINGS MOUTH GAG LARGE,TRUE
70222,70222-US60-10,DENHARDT MOUTH GAG STND,TRUE
70232,70232-US60-10,SLUDER-JANSEN GAG LARGE,TRUE
70300,70300-US60-10,DAVIS GAG DOUBLE BITE RT,TRUE
70301,70301-US60-10,DAVIS GAG DOUBLE BITE LT,TRUE
70302,70302-US60-10,DAVIS GAG SINGLE BITE RT,TRUE
70303,70303-US60-10,DAVIS GAG SINGLE BITE LT,TRUE
70305,70305-US60-10,Silicone Bite Liners,TRUE
70312,70312-US60-10,DAVIS BLADE NO TUBE 2,TRUE
70330,70330-US60-10,RING BLADE RIGHT #2,TRUE
70332,70332-US60-10,RING BLADE RIGHT #3,TRUE
70334,70334-US60-10,RING BLADE RIGHT #4,TRUE
70340,70340-US60-10,RING BLADE LEFT #2,TRUE
70342,70342-US60-10,RING BLADE LEFT #3,TRUE
70344,70344-US60-10,RING BLADE LEFT #4,TRUE
70450,70450-US60-10,DINGMAN GAG WITH BLADES,TRUE
70501,70501-US60-10,LA FORCESZ 1,TRUE
70502,70502-US60-10,LA FORCESZ 2,TRUE
70503,70503-US60-10,LA FORCESZ 3,TRUE
70511,70511-US60-10,SHAMBAUGH REVERSE CV SZ 1,TRUE
70512,70512-US60-10,SHAMBAUGH REVERSE CV SZ 2,TRUE
70521,70521-US60-10,ADENOTOME BLADES SMALL 1,TRUE
70522,70522-US60-10,ADENOTOME BLADES MEDIUM 2,TRUE
70523,70523-US60-10,ADENOTOME BLADES LARGE 3,TRUE
70600,70600-US60-10,DANIELS TONSILLECTOME #1,TRUE
70604,70604-US60-10,DANIELS BLADE ONLY #1,TRUE
70605,70605-US60-10,DANIELS BLADE ONLY #2,TRUE
70635,70635-US60-10,SAGE TONSIL SNARE RATCH,TRUE
70640,70640-US60-10,TYDING TONSIL SNARE STR,TRUE
70651,70651-US60-10,"SNARE EVE TONSIL 10.5"" STANDARD",TRUE
70652,70652-US60-10,EVE SNARE W/ RATCHET,TRUE
70660,70660-US60-10,NEIVERT EVE SNARE,TRUE
70665,70665-US60-10,LEWIS TONSIL SNARE,TRUE
70701,70701-US60-10,"SNARE WIRE 4 GAUGE 4 1/2"" LENGTH",TRUE
70701,70701-US60-10,"SNARE WIRE 4 GAUGE 4 1/2"" LENGTH",TRUE
70702,70702-US60-10,"SNARE WIRE 5 GUAGE 4 1/2"" LENGTH",TRUE
70702,70702-US60-10,"SNARE WIRE 5 GUAGE 4 1/2"" LENGTH",TRUE
70704,70704-US60-10,"SNARE WIRE 7 GAUGE 4 1/2"" LENGTH",TRUE
70704,70704-US60-10,"SNARE WIRE 7 GAUGE 4 1/2"" LENGTH",TRUE
70705,70705-US60-10,"SNARE WIRE 8 GAUGE 4 1/2"" LENGTH",TRUE
70705,70705-US60-10,"SNARE WIRE 8 GAUGE 4 1/2"" LENGTH",TRUE
70706,70706-US60-10,"SNARE WIRE 9 GAUGE 4 1/2"" LENGTH",TRUE
70706,70706-US60-10,"SNARE WIRE 9 GAUGE 4 1/2"" LENGTH",TRUE
72110,72110-US60-10,"CURETTE VOGEL ADNOID SZ2 15MMX18MM 8.75""",TRUE
72120,72120-US60-10,REVERSE CURVE ADENOID CURETTE SIZE 0,TRUE
72122,72122-US60-10,SHAMBAUGH ADND CUR REV CRV SZ2 15X18MM,TRUE
72124,72124-US60-10,REVERSE CURVE ADENOID CURETTE SIZE 4,TRUE
73370,73370-US60-10,FISHER TONSIL KNIFE,TRUE
73500,73500-US60-10,HURD PILLAR RETRACT SM,TRUE
73502,73502-US60-10,HURD PILLAR RETRACT LGE,TRUE
74115,74115-US60-10,"SCIS YANKAUER TONSIL SLT CVD 7 1/8""",TRUE
74120,74120-US60-10,"SCIS BOETTCHER DBL EDGE SL CVD 7.25""",TRUE
74140,74140-US60-10,"SCIS DEAN TONSIL ANG-SER BLD 6 3/4""",TRUE
75116,75116-US60-10,"SCHNIDT HEMOSTATIC FCPS SL CVD 7.5""",TRUE
75118,75118-US60-10,"MOSQUITO FCPS SL CVD 7.25""",TRUE
75120,75120-US60-10,"SCHNIDT FCPS LT CVD 7.25"" W-L",TRUE
75122,75122-US60-10,"SCHNIDT FCPS STRG CVD 7.25"" W-L",TRUE
81001,81001-US60-10,RING TAMPERPROOF STEAM YELLOW 500/CS,TRUE
81034,81034-US60-10,LOCK PULLTIGHTSTEAM WHITE NO IND 1000/CS,TRUE
83001,83001-US60-10,"FILTERS PLAIN 9.5"" X 9.5"" 1000/CS",TRUE
83001,83001-US60-10,"FILTERS PLAIN 9.5"" X 9.5"" 1000/CS",TRUE
83002,83002-US60-10,"FILTERS PLAIN 9"" X 9"" 1000/CS",TRUE
83002,83002-US60-10,"FILTERS PLAIN 9"" X 9"" 1000/CS",TRUE
87341,87341-US60-10,"HOLDING PIN (1) 2"", EACH",TRUE
87348,87348-US60-10,"HOLDING PINS 1-1/2"", SET OF 6",TRUE
87351,87351-US60-10,"HOLDING PINS 3"" , EACH",TRUE
87396,87396-US60-10,"MAT SILICONE SPIKED 11"" X 22""",TRUE
87403,87403-US60-10,"MAT SILICONE SPIKED 11"" X 11""",TRUE
87405,87405-US60-10,"MAT SILICONE SPIKED 13"" X 21""",TRUE
87419,87419-US60-10,"MAT SILICONE SPIKED 11"" X 16""",TRUE
87420,87420-US60-10,"MAT SILICONE SPIKED 11"" X 20""",TRUE
87530,87530-US60-10,"HOLDER INSTR POSILOK SNGL LINK 6"" X 2.5""",TRUE
87531,87531-US60-10,"HOLDER INSTR POSILOK SNGL LINK 8"" X 2.5""",TRUE
87532,87532-US60-10,"HOLDER INSTR POSILOK SNGL LINK 10""X2.5""",TRUE
87533,87533-US60-10,"HOLDER INSTR POSILOK SNGL LINK 12""X2.5""",TRUE
87550,87550-US60-10,"INSTRUMENT STRINGER 6""",TRUE
87552,87552-US60-10,"INSTRUMENT STRINGER 10""",TRUE
87559,87559-US60-10,"HOLDER INSTR E-Z LOCK 8"" X 2.5""",TRUE
87561,87561-US60-10,"HOLDER INSTR E-Z LOCK 12"" X 2.5""",TRUE
87601,87601-US60-10,"CLEANING BRUSH, PR 1/8"" DIA.",TRUE
