Material Number,Material_Key__c,Description,Multi_Use_Demo__c
214570,214570-US60-10,"SIMPSON LUIKART OB FORCEPS 14""",TRUE
214595,214595-US60-10,"DELEE OB FORCEPS 12""",TRUE
214605,214605-US60-10,"FCPS MCLEAN-TUCK-LUIK OBSTETRICAL 15.5""",TRUE
214687,214687-US60-10,LITVAK-PEREYRA LIGATURE NEEDLE,TRUE
214688,214688-US60-10,STAMEY NEEDLE STRAIGHT,TRUE
214689,214689-US60-10,STAMEY NEEDLE ANGLED 15 DEGREE,TRUE
214691,214691-US60-10,STAMEY NEEDLE ANGLED 30 DEGREE,TRUE
214770,214770-US60-10,BETHEA SHEET HOLDERS,TRUE
241108,241108-US60-10,VAN BUREN SOUND 8FR,TRUE
241110,241110-US60-10,VAN BUREN SOUND 10FR,TRUE
241112,241112-US60-10,"VAN BUREN SOUND 12FR 10 5/8"", 26.99CM",TRUE
241114,241114-US60-10,VAN BUREN SOUND 14FR,TRUE
241116,241116-US60-10,"VAN BUREN SOUND 16FR 10 5/8"", 26.99CM",TRUE
241118,241118-US60-10,VAN BUREN SOUND 18FR,TRUE
241120,241120-US60-10,VAN BUREN SOUND 20FR,TRUE
241122,241122-US60-10,VAN BUREN SOUND 22FR,TRUE
241124,241124-US60-10,VAN BUREN SOUND 24FR,TRUE
241126,241126-US60-10,VAN BUREN SOUND 26FR,TRUE
241128,241128-US60-10,VAN BUREN SOUND 28FR,TRUE
241130,241130-US60-10,VAN BUREN SOUND 30FR,TRUE
241132,241132-US60-10,VAN BUREN SOUND 32FR,TRUE
242005,242005-US60-10,MCDOUGAL PROSTATECTOMY CLP LFT,TRUE
242006,242006-US60-10,MCDOUGAL PROSTATECTOMY CLP RT,TRUE
243110,243110-US60-10,"CLAMP MAYO VESSEL 10.25""",TRUE
243200,243200-US60-10,LOWSLEY PROSTATIC TRACTOR CVD,TRUE
243201,243201-US60-10,LOWSLEY PROSTATIC TRACTOR STR,TRUE
244000,244000-US60-10,NO SCALPEL HEMOSTAT SHARP,TRUE
244001,244001-US60-10,NO SCALPEL RING CLAMP,TRUE
341010,341010-US60-10,VASCULAR ACCESS SET CASE SS,TRUE
341050,341050-US60-10,OPCABG RETRACTOR,TRUE
341052,341052-US60-10,OPCABG BLADE LONG 45MM,TRUE
341053,341053-US60-10,OPCABG BLADE X-LONG 50MM,TRUE
341100,341100-US60-10,STRONG T-BAR UNILATERAL SYSTEM,TRUE
341112,341112-US60-10,STRONG SUPPORT BAR,TRUE
341113,341113-US60-10,STRONG T-BAR,TRUE
341114,341114-US60-10,RAIL CLAMP FOR STRONG T-BAR,TRUE
341116,341116-US60-10,POST VERTICAL FOR 341115,TRUE
341120,341120-US60-10,OCHSNER FAVAL RET W/POLY CLAMP,TRUE
341123,341123-US60-10,CAPTIVE WASHER,TRUE
341124,341124-US60-10,MICRO ADJUSTABLE RAKE AND ARM,TRUE
341126,341126-US60-10,KNOB AND CLAMP ASSEMBLY,TRUE
341127,341127-US60-10,MICRO ADJUSTABLE KNOB ASSEMBLY,TRUE
341128,341128-US60-10,OCHSNER FAVALORO RETRACTOR,TRUE
341129,341129-US60-10,OCHSNER MICRO RAKE RETRACTOR,TRUE
341131,341131-US60-10,CHEANVECHAI-FAVALORO RAKE RET,TRUE
341133,341133-US60-10,CHEANVECHAI SWIVEL RAKE RET,TRUE
341136,341136-US60-10,RETR IMA TAKEDOWN SYSTEM,TRUE
341139,341139-US60-10,COUETIL IMA RETRACTOR,TRUE
341147,341147-US60-10,CHAUX BLADE ASSY & VALVE RET,TRUE
341148,341148-US60-10,CHAUX BLADE ASSY X-LONG 4.5CM,TRUE
341149,341149-US60-10,CHAUX VALVE STERNAL BLADE ASSY,TRUE
341150,341150-US60-10,CHAUX RETRACTOR COMPLETE,TRUE
341154,341154-US60-10,THUMB SCREW FOR 341152,TRUE
341155,341155-US60-10,CHAUX STERN IMA/VALVE RET COMP,TRUE
341156,341156-US60-10,TAKE-UP SCREW FOR 341150,TRUE
341158,341158-US60-10,MORSE STERN RET CHILD AGE 2-5,TRUE
341160,341160-US60-10,"MORSE STERN RET CHILD 6"" SPREAD",TRUE
341162,341162-US60-10,"MORSE STERNAL RET ADULT 8""",TRUE
341163,341163-US60-10,FAVALORO-MORSE STERN RET SHORT,TRUE
341164,341164-US60-10,FAVALORO-MORSE STERN RET LONG,TRUE
341170,341170-US60-10,GERBODE-BURFORD RET ADULT SS,TRUE
341175,341175-US60-10,DEBAKEY CHEST RETRACTOR ADULT,TRUE
341180,341180-US60-10,"GERBODE STERNAL RET 6"" SPREAD",TRUE
341181,341181-US60-10,"GERBODE STERNAL RET 8"" SPREAD",TRUE
341194,341194-US60-10,"COOLEY STERNUM RET, ADULT,SHORT BLADES",TRUE
341195,341195-US60-10,COOLEY STERNUM RET X LARGE,TRUE
341198,341198-US60-10,BONCHEK-CARPENTIER ATRIAL RET,TRUE
341200,341200-US60-10,GERBODE-BURFORD RET CHILD SS,TRUE
341205,341205-US60-10,REPLOGLE RETRACTOR INFANT,TRUE
341224,341224-US60-10,FARRELL RUBIO RET ADULT,TRUE
341225,341225-US60-10,BURFORD RETRACTOR ADULT SS,TRUE
341227,341227-US60-10,"BURFORD ADULT RIB SPREADER, ALUM",TRUE
341250,341250-US60-10,BURFORD RETRACTOR CHILD,TRUE
341290,341290-US60-10,DAVIS-FINOCHIETTO RET INFANT,TRUE
341296,341296-US60-10,HAIGHT RETRACTOR LARGE,TRUE
341302,341302-US60-10,FINOCHIETTO RET INFANT ALUM,TRUE
341303,341303-US60-10,AMATO RET 4 BLADES SMALL PED,TRUE
341304,341304-US60-10,AMATO RET 4 BLADES MEDIUM PED,TRUE
341305,341305-US60-10,AMATO RET 6 BLADES LARGE PED,TRUE
341310,341310-US60-10,HEITMILLER MINI THORACOTOMY RETRACTOR,TRUE
341312,341312-US60-10,PREMIE RIB SPREADER,TRUE
341315,341315-US60-10,DEBAKEY RETRACTOR INFANT,TRUE
341317,341317-US60-10,DEBAKEY RETRACTOR CHILD ALUM,TRUE
341326,341326-US60-10,FINOCHIETTO RETRACTOR NEWBORN,TRUE
341328,341328-US60-10,FINOCHIETTO RETRACTOR CHILD,TRUE
341330,341330-US60-10,FINOCHIETTO RET ADULT MEDIUM,TRUE
341332,341332-US60-10,FINOCHIETTO RET ADULT LARGE,TRUE
341362,341362-US60-10,RIENHOFF RIB SPREADER MEDIUM,TRUE
341366,341366-US60-10,RIENHOFF RIB SPREADER LARGE,TRUE
341387,341387-US60-10,DONOR CHEST SPREADER INF/CHILD,TRUE
341389,341389-US60-10,DONOR CHEST SPREADER ADULT,TRUE
341390,341390-US60-10,TUFFIER RIB SPREADER,TRUE
341397,341397-US60-10,KUYPER-MURPHY STERNAL RET SM,TRUE
341398,341398-US60-10,KUYPER-MURPHY STERNAL RET MED,TRUE
341448,341448-US60-10,BAILEY CONTRACTOR SMALL,TRUE
341450,341450-US60-10,BAILEY CONTRACTOR ADULT,TRUE
341460,341460-US60-10,BAILEY-GIBBON CONTRACTOR,TRUE
341501,341501-US60-10,LEMOLE-PILL VALVE RET SET #1,TRUE
341502,341502-US60-10,LEMOLE-PILL VALVE RET SET #2,TRUE
341503,341503-US60-10,LEMOLE-PILL VALVE RET SET #3,TRUE
341506,341506-US60-10,LEMOLE VALVE RET #1 W/341195,TRUE
341511,341511-US60-10,LEMOLE-PILLING T FRAME #1,TRUE
341512,341512-US60-10,LEMOLE-PILLING T FRAME #2,TRUE
341513,341513-US60-10,LEMOLE-PILLING T FRAME #3,TRUE
341514,341514-US60-10,CHAUX-LEM BI-ANG VALVE T-FRAME,TRUE
341515,341515-US60-10,LEMOLE SIDE ARM EXTENSION,TRUE
341520,341520-US60-10,UNIV CLAMP FOR LEMOLE-PILL RET,TRUE
341522,341522-US60-10,COOLEY ATRIAL RETRACTOR SMALL,TRUE
341523,341523-US60-10,COOLEY ATRIAL RETRACTOR MEDIUM,TRUE
341524,341524-US60-10,COOLEY ATRIAL RETRACTOR LARGE,TRUE
341525,341525-US60-10,ATRIAL RETRACTOR MALLEABLE,TRUE
341635,341635-US60-10,"BREWSTER RETRACTOR 6"" 2/SET",TRUE
341640,341640-US60-10,"RETR SEMB 5/8"" X 1.25""",TRUE
341650,341650-US60-10,DAVIDSON SCAPULA RET SMALL,TRUE
341651,341651-US60-10,DAVIDSON SCAPULA RET LARGE,TRUE
341678,341678-US60-10,ALLISON WIRE LUNG RET CHILD,TRUE
341679,341679-US60-10,"ALLISON LUNG RETR ADULT, 12 1/2""",TRUE
341690,341690-US60-10,"HAIGHT RETRACTOR 3""",TRUE
341692,341692-US60-10,"HAIGHT RETRACTOR 3 1/2""",TRUE
341694,341694-US60-10,"HAIGHT RETRACTOR 4""",TRUE
341696,341696-US60-10,"HAIGHT RETRACTOR 4 3/4""",TRUE
341698,341698-US60-10,"HAIGHT RETRACTOR 5 1/2""",TRUE
341720,341720-US60-10,"WILLAUER-DEAVER RETRACTOR 1""WD",TRUE
341722,341722-US60-10,"WILLAUER-DEAVER RETRACTOR 2""WD",TRUE
341730,341730-US60-10,"LEMMON RETRACTOR 1""WIDE",TRUE
341732,341732-US60-10,"LEMMON RETRACTOR 2""WIDE",TRUE
341740,341740-US60-10,"RETR DEBAKEY-COOLEY-HARR 2.25"" X 7""",TRUE
341770,341770-US60-10,"HARRINGTON RETRACTOR 1 1/2""",TRUE
341773,341773-US60-10,"HARRINGTON RETRACTOR 2 1/2""",TRUE
341780,341780-US60-10,"WYLIE RETRACTOR 2 1/8""",TRUE
341790,341790-US60-10,"HARRINGTON RET EX DEEP 2 1/4""",TRUE
341791,341791-US60-10,"HARRINGTON RET EX DEEP 4 1/2""",TRUE
341795,341795-US60-10,"RETR WYLIE RENAL VEIN 1"" X 4""",TRUE
341797,341797-US60-10,"RETR WYLIE RENAL VEIN 1"" X 7""",TRUE
341803,341803-US60-10,"STILLE-LUER RONGEUR ANG 9""",TRUE
341836,341836-US60-10,WALTON-RUSKIN RONGEUR CVD 4MM,TRUE
341950,341950-US60-10,"BETHUNE RIB SHEAR 14""",TRUE
341960,341960-US60-10,CORYLLOS-BETHUNE RIB SHEAR RT,TRUE
341961,341961-US60-10,CORYLLOS-BETHUNE RIB SHEAR LFT,TRUE
341980,341980-US60-10,"STILLE RIB SHEAR 10""",TRUE
341985,341985-US60-10,"ROOS FIRST RIB SHEAR 14""",TRUE
341992,341992-US60-10,ROOS BRACHIAL PLEXUS ROOT RET,TRUE
342002,342002-US60-10,STERNAL APPROXIMATOR,TRUE
342004,342004-US60-10,STERNAL CRIMPER,TRUE
342006,342006-US60-10,LOCKING PLATES 8/PK 10PK/CS 316L- S/S,TRUE
342008,342008-US60-10,STERNAL CLOSURE CASE SS,TRUE
342015,342015-US60-10,GRUNWALD SUTURE RING,TRUE
342020,342020-US60-10,LEBSCHE STERNUM KNIFE,TRUE
342025,342025-US60-10,PARSONNET EPICARDIAL RET,TRUE
342040,342040-US60-10,SWEET STERNUM PUNCH,TRUE
342043,342043-US60-10,KIRKLIN STERNAL AWL,TRUE
342044,342044-US60-10,NEEDLE ONLY FOR 342043,TRUE
342102,342102-US60-10,SAUERBRUCH RONGEUR STR 13MM,TRUE
342107,342107-US60-10,SAUERBRUCH RONGEUR STR 20MM,TRUE
342141,342141-US60-10,URSCHEL FIRST RIB RONGEUR 5MM,TRUE
342142,342142-US60-10,DALE FIRST RIB RONGEUR,TRUE
342143,342143-US60-10,URSCHEL-LEKSELL RIB RONGEUR,TRUE
342160,342160-US60-10,"SCIS DEBAKEY METZ CVD 5.75"" TC",TRUE
342162,342162-US60-10,"DEBAKEY METZ SCIS CVD 7"" TC",TRUE
342166,342166-US60-10,"DEBAKEY METZ SCIS CVD 9"" TC",TRUE
342167,342167-US60-10,"DEBAKEY METZ SCIS CVD 10"" TC",TRUE
342168,342168-US60-10,"DEBAKEY METZ SCIS CVD 11"" TC",TRUE
342169,342169-US60-10,"DEBAKEY METZ SCIS CVD 12"" TC",TRUE
342200,342200-US60-10,"DEBAKEY SCISSORS CURVED 6""",TRUE
342201,342201-US60-10,"DEBAKEY SCISSORS CURVED 7""",TRUE
342202,342202-US60-10,"DEBAKEY SCISSORS CURVED 8""",TRUE
342203,342203-US60-10,"DEBAKEY SCISSORS CURVED 9""",TRUE
342204,342204-US60-10,"DEBAKEY SCISSORS CURVED 10""",TRUE
342206,342206-US60-10,"DEBAKEY SCISSORS CURVED 12""",TRUE
342220,342220-US60-10,"JAMISON METZENBAUM SCIS CVD 6""",TRUE
342221,342221-US60-10,"JAMISON METZENBAUM SCIS CVD 7""",TRUE
342222,342222-US60-10,"JAMISON METZENBAUM SCIS CVD 8""",TRUE
342223,342223-US60-10,"JAMISON METZENBAUM SCIS CVD 9""",TRUE
342242,342242-US60-10,"NELSON SCISSORS CURVED 10""",TRUE
342243,342243-US60-10,"NELSON SCISSORS CURVED 11""",TRUE
342245,342245-US60-10,"NELSON SCISSORS CURVED 14 1/2""",TRUE
342270,342270-US60-10,"THOREK SCISSORS 7 1/2""",TRUE
342272,342272-US60-10,"THOREK SCISSORS 10""",TRUE
342273,342273-US60-10,"JORGENSON SCISSORS 9""",TRUE
342275,342275-US60-10,"FERGUSON SCISSORS CURVED 10""",TRUE
342501,342501-US60-10,"RUMEL CLAMP A CURVE 9"" AG",TRUE
342504,342504-US60-10,"RUMEL CLAMP D CURVE 9"" AG",TRUE
342511,342511-US60-10,"RUMEL CLMP A CURVE SERRATED 9""",TRUE
342513,342513-US60-10,"RUMEL CLMP C CURVE SERRATED 9""",TRUE
342514,342514-US60-10,"RUMEL CLMP D CURVE SERRATED 9""",TRUE
342533,342533-US60-10,COL-RUMEL CLAMP C CURVE CHILD,TRUE
342557,342557-US60-10,"KANTROWITZ CLAMP RT ANG 7 1/2""",TRUE
342558,342558-US60-10,"KANTROWITZ FORCEPS 9 1/2""",TRUE
342559,342559-US60-10,"CLAMP KANTROWITZ RIGHT ANG 10.5""",TRUE
342560,342560-US60-10,"CLAMP DEBAKEY C CURVE 7.5"" AG",TRUE
342561,342561-US60-10,"CLAMP DEBAKEY D CURVE 7.5"" AG",TRUE
342562,342562-US60-10,"DEBAKEY CLAMP C CURVE 9 5/8"" LG",TRUE
342563,342563-US60-10,"DEBAKEY CLAMP D CURVE 9"" AG",TRUE
342565,342565-US60-10,"CLAMP DEBAKEY D CURVE 10 1/8"" AG",TRUE
342566,342566-US60-10,"DEBAKEY RT ANG FCPS 7 5/8""",TRUE
342567,342567-US60-10,"DEBAKEY CLAMP RT ANGLE 9""",TRUE
342568,342568-US60-10,"DEBAKEY CLAMP RT ANGLE 10""",TRUE
342569,342569-US60-10,"DEBAKEY CLAMP RT ANGLE 11""",TRUE
342571,342571-US60-10,"SAROT ARTERY CLAMP MED 7 1/2""",TRUE
342572,342572-US60-10,"CLAMP SAROT ARTERY LRG 9""",TRUE
342575,342575-US60-10,"ROOS SCALENECTOMY CLAMP 11""",TRUE
342580,342580-US60-10,"WILLAUER CLAMP FULL CURVE 9""",TRUE
342583,342583-US60-10,THORACIC SAWTELL TONSIL CLAMP,TRUE
342585,342585-US60-10,"PILLING ARTERY CLAMP 9 1/4""",TRUE
342587,342587-US60-10,"BENGOLEA CLAMP 8 3/4""",TRUE
342590,342590-US60-10,"VANDERBILT VESSEL CLAMP 8 1/2""",TRUE
342594,342594-US60-10,"LEJUNE CLAMP CURVED 9 1/4""",TRUE
342596,342596-US60-10,"GEMINI CLAMP ANGLED 7""",TRUE
342597,342597-US60-10,"GEMINI CLAMP ANGLED 9""",TRUE
342598,342598-US60-10,"FCPS GEMINI THORACIC 11""",TRUE
342600,342600-US60-10,"MIXTER CLAMP 8 1/4"" AG",TRUE
342601,342601-US60-10,"CLAMP MIXTER SERR 8 9/16""",TRUE
342603,342603-US60-10,"MIXTER CLAMP SERRATED 9""",TRUE
342605,342605-US60-10,"MIXTER CLAMP 11"" AG",TRUE
342606,342606-US60-10,"MIXTER CLAMP SERRATED 10""",TRUE
342611,342611-US60-10,"MCQUIGG MIXTER CLAMP 8 3/4""",TRUE
342615,342615-US60-10,"FINOCHIETTO CLAMP 10""",TRUE
342625,342625-US60-10,"RIENHOFF SWAN CLAMP 10 1/4""",TRUE
342632,342632-US60-10,"HARRINGTON RT ANG CLMP HVY 12 1/2""",TRUE
342633,342633-US60-10,"HARRINGTON CLAMP LIGHT 12""",TRUE
342655,342655-US60-10,"DEBAKEY LUNG FORCEPS 9"" AG",TRUE
342660,342660-US60-10,"COLLIN LUNG FCPS 1/2"" WIDE 8""",TRUE
342662,342662-US60-10,"COLLIN LUNG FCPS 1"" WIDE 8""",TRUE
342664,342664-US60-10,"COLLIN LUNG FCPS 1"" WIDE 9""",TRUE
342670,342670-US60-10,"DUVAL LUNG FCPS 1"" WIDE 8""",TRUE
342672,342672-US60-10,"FCPS DUVAL LUNG 1"" WIDE JAW 8-7/8""",TRUE
342675,342675-US60-10,"LOVELACE LUNG FCPS 1"" WIDE 8""",TRUE
342710,342710-US60-10,"SEMB FCPS SLIGHT CURVE 10.25""",TRUE
342711,342711-US60-10,"SEMB FCPS ACUTE CURVE 9 1/4""",TRUE
342720,342720-US60-10,"WILLAUER ALLIS FCPS 10""",TRUE
342721,342721-US60-10,"WILLAUER ALLIS FCPS 11 1/4""",TRUE
342725,342725-US60-10,"BABCOCK TISSUE FCPS 3/8"" JAW",TRUE
342726,342726-US60-10,"BABCOCK TISSUE FCPS 1/2"" JAW",TRUE
342800,342800-US60-10,"LEES RT ANGLE CLAMP 8 1/2"" AG",TRUE
342802,342802-US60-10,"LEES BRONCHUS CLAMP 9 1/4"" AG",TRUE
342804,342804-US60-10,"BRONCHUS CLAMP 25DEG 8 1/2"" AG",TRUE
342822,342822-US60-10,SAROT BRONCH CLMP ADULT RT AG,TRUE
342823,342823-US60-10,SAROT BRONCH CLMP ADULT LFT AG,TRUE
342910,342910-US60-10,"CW MAYO TISSUE FORCEPS 9""",TRUE
342915,342915-US60-10,"DAVIS TIS FCPS 10 1/8""",TRUE
342933,342933-US60-10,"SINGLEY TISSUE FORCEPS 9""",TRUE
342935,342935-US60-10,"TUTTLE THORACIC TISSUE FORCEPS 9""",TRUE
342950,342950-US60-10,"NELSON TISSUE FORCEPS 9""",TRUE
342965,342965-US60-10,"BROWN TISSUE FORCEPS 8""",TRUE
342967,342967-US60-10,"BROWN TIS FCPS 9X9 9 3/4""",TRUE
342980,342980-US60-10,"DEBAKEY TIS FCPS STR 6"" AG",TRUE
342981,342981-US60-10,"DEBAKEY TIS FCPS STR 7 3/4"" AG",TRUE
342982,342982-US60-10,"DEBAKEY TIS FCPS STR 9 1/2"" AG",TRUE
342984,342984-US60-10,"DEBAKEY TIS FCPS STR 12"" AG",TRUE
342986,342986-US60-10,"DEBAKEY TIS FCPS ANG 12"" AG",TRUE
343000,343000-US60-10,"GERBODE NH 10 1/2"" TC",TRUE
343027,343027-US60-10,"STRATTE NH REVERSE CURVE 9"" TC",TRUE
343030,343030-US60-10,"BERRY TM STERNAL NH 7 3/4"" TC",TRUE
343145,343145-US60-10,"ALEXANDER RASP STANDARD 8 1/2""",TRUE
343148,343148-US60-10,"DOYEN RASP INFANT RIGHT 6""",TRUE
343149,343149-US60-10,"DOYEN RASP INFANT LEFT 6""",TRUE
343152,343152-US60-10,"DOYEN RASP ADULT RIGHT 7""",TRUE
343153,343153-US60-10,"DOYEN RASP ADULT LEFT 7""",TRUE
343295,343295-US60-10,ABRAMS PLEURAL BIOPSY NEEDLE,TRUE
343393,343393-US60-10,RAIL CLAMPS,TRUE
343395,343395-US60-10,THOMPSON INSTRUMENT HOLDER,TRUE
343500,343500-US60-10,"BRUNS CURETTE SIZE 000 9""",TRUE
343501,343501-US60-10,"BRUNS CURETTE SIZE 00 9""",TRUE
343502,343502-US60-10,"BRUNS CURETTE SIZE 0 9""",TRUE
343503,343503-US60-10,"BRUNS CURETTE SIZE 1 9""",TRUE
343504,343504-US60-10,"BRUNS CURETTE SIZE 2 9""",TRUE
343505,343505-US60-10,"BRUNS CURETTE SIZE 3 9""",TRUE
343506,343506-US60-10,"BRUNS CURETTE SIZE 4 9""",TRUE
343590,343590-US60-10,CHEST DRAIN PULLING CLAMP,TRUE
351316,351316-US60-10,FITCH OBTURATOR 26FR,TRUE
351318,351318-US60-10,FITCH OBTURATOR 30FR,TRUE
351348,351348-US60-10,"WIRE TWISTER 5 1/2""",TRUE
351349,351349-US60-10,"RUBIO WIRE TWISTER 5"" TC",TRUE
351351,351351-US60-10,"HOLDER MORSE TUBING SIZE 3/16"" AND 1/4""",TRUE
351352,351352-US60-10,"HOLDER MORSE TUBING SIZE 5/16"" AND 3/8""",TRUE
351353,351353-US60-10,"HOLDER MORSE TUBING SIZE 7/16"" AND 1/2""",TRUE
351354,351354-US60-10,"HOLDER MORSE TUBING SIZE 9/16"" AND 5/8""",TRUE
351355,351355-US60-10,"HOLDER MORSE TUBING SIZE 11/16"" AND 3/4""",TRUE
351358,351358-US60-10,PRESBYTERIAN HOS TUBE OCCLUDING CLAMP,TRUE
351370,351370-US60-10,NICHOLS TUBING HOLDER,TRUE
351373,351373-US60-10,"VORSE TUBING CLAMP 6""",TRUE
351374,351374-US60-10,"VORSE TUBING CLAMP 7 1/2""",TRUE
351375,351375-US60-10,"VORSE TUBING CLAMP 8""",TRUE
351376,351376-US60-10,"TUBING CLAMP WITH GUARD 6""",TRUE
351377,351377-US60-10,"TUBING CLAMP WITH GUARD 7 1/2""",TRUE
351378,351378-US60-10,"TUBING CLAMP WITH GUARD 8""",TRUE
351390,351390-US60-10,"GUNNAR HEY ROLLER CLAMP 7 1/4""",TRUE
351470,351470-US60-10,"JEHLE CATH 9/32"" STERILE 5/BX",TRUE
351472,351472-US60-10,"JEHLE CATH 11/32"" STERILE 5/BX",TRUE
351474,351474-US60-10,"JEHLE CATH 13/32"" STERILE 5/BX",TRUE
351476,351476-US60-10,"JEHLE CATH 15/32"" STERILE 5/BX",TRUE
351490,351490-US60-10,JEHLE CATH 4-HEAD STERILE 5/BX,TRUE
351500,351500-US60-10,DEBAKEY SUCTION TUBE 9MM TIP,TRUE
351501,351501-US60-10,SUCTION TIP FOR 351500,TRUE
351502,351502-US60-10,DEBAKEY SUCTION TUBE 3MM TIP,TRUE
351504,351504-US60-10,"DEBAKEY-ADSON SUCTION TUBE 6""",TRUE
351505,351505-US60-10,MORSE-ANDREWS SUCTION TUBE,TRUE
351506,351506-US60-10,"DEBAKEY-ADSON SUCTION TUBE 8""",TRUE
351508,351508-US60-10,DEBAKEY SUCTION TUBE 9MM FO,TRUE
351547,351547-US60-10,COOLEY SUMP-SUCTION TUBE,TRUE
351560,351560-US60-10,STONEY HEPARIN INJECTOR,TRUE
351573,351573-US60-10,ZANGER-DEBAKEY HEPARIN NEEDLE,TRUE
351574,351574-US60-10,HORSLEY HEPARIN NEEDLE,TRUE
351575,351575-US60-10,DEBAKEY HEPARIN NEEDLE SMALL,TRUE
351576,351576-US60-10,DEBAKEY HEPARIN NEEDLE MEDIUM,TRUE
351577,351577-US60-10,DEBAKEY HEPARIN NEEDLE LARGE,TRUE
351578,351578-US60-10,IMA HEPARIN NEEDLE 23GA,TRUE
351586,351586-US60-10,GARRETT HEPARIN INJECTOR 8MM,TRUE
351587,351587-US60-10,GARRETT HEPARIN INJECTOR 12MM,TRUE
351593,351593-US60-10,SAMSON HEPARIN INJECTOR SMALL,TRUE
351594,351594-US60-10,SAMSON HEPARIN INJECTOR MEDIUM,TRUE
351645,351645-US60-10,"CLAMP COOLEY VENA CAVA CHILD 24FR 6""",TRUE
351646,351646-US60-10,"CLAMP COOLEY VENA CAVA CHILD 26FR 7.25""",TRUE
351650,351650-US60-10,"CLAMP COOLEY VENA CAVA ADULT 28FR 7.25""",TRUE
351651,351651-US60-10,"CLAMP COOLEY VENA CAVA ADULT 30FR 7.25""",TRUE
351652,351652-US60-10,"CLAMP COOLEY VENA CAVA ADULT 32FR 7.25""",TRUE
351653,351653-US60-10,"CLAMP COOLEY VENA CAVA ADULT 36FR 7.25""",TRUE
351654,351654-US60-10,"CLAMP COOLEY VENA CAVA ADULT 34FR 7.25""",TRUE
351664,351664-US60-10,BLADE CENTER MAINI RICHARDSON,TRUE
351666,351666-US60-10,"BLADE SIDE 7/8"" X 1"" FOR 351675",TRUE
351667,351667-US60-10,"BLADE SIDE 7/8"" X 2"" FOR 351675",TRUE
351668,351668-US60-10,"BLADE SIDE 7/8"" X 3"" FOR 351675",TRUE
351669,351669-US60-10,"BLADE CENTER 5/8"" X 3/4"" FOR 351675",TRUE
351670,351670-US60-10,"BLADE CENTER 5/8"" X 1"" FOR 351675",TRUE
351671,351671-US60-10,"BLADE CENTER 5/8"" X 1-1/4"" FOR 351675",TRUE
351672,351672-US60-10,"BLADE CENTER 5/8"" X 2"" FOR 351675",TRUE
351673,351673-US60-10,"BLADE CENTER 5/8"" X 2-1/2"" FOR 351675",TRUE
351675,351675-US60-10,RETR PILLING MULTIPURPOSE,TRUE
351676,351676-US60-10,"BLADE SIDE 7/8"" X 1"" FOR 351679",TRUE
351677,351677-US60-10,"BLADE SIDE 7/8"" X 2"" FOR 351679",TRUE
351678,351678-US60-10,"BLADE SIDE 7/8"" X 3"" FOR 351679",TRUE
351679,351679-US60-10,RETR HENLY IMPROVED MODEL,TRUE
351680,351680-US60-10,RETR HENLY WIDE SPREAD,TRUE
351685,351685-US60-10,IN-SITU SPRING RETRACTOR,TRUE
351715,351715-US60-10,CONN AORTIC COMPRESSOR,TRUE
351737,351737-US60-10,"REV-GAR VALVE MIRROR 9""",TRUE
351743,351743-US60-10,"REV-GAR ALLIS CLAMP 9 1/2"" AG",TRUE
351744,351744-US60-10,"REV-GAR ALLIS CLAMP 11"" AG",TRUE
351745,351745-US60-10,REV-GAR VALVE SCISSORS ANGLED,TRUE
351747,351747-US60-10,REV-GAR VALVE LEAFLET RET,TRUE
351748,351748-US60-10,"CARDIAC VALVE FORCEPS 9 1/2""",TRUE
351749,351749-US60-10,CARDIAC VALVE HOOK CALIBRATED,TRUE
351750,351750-US60-10,BLANCO RETRACTOR SMALL,TRUE
351752,351752-US60-10,BLANCO RETRACTOR LARGE,TRUE
351754,351754-US60-10,CUSHING BLANCO RETRACTOR,TRUE
351755,351755-US60-10,BLANCO VALVE SPREADER,TRUE
351763,351763-US60-10,ABLAZA BLANCO VALVE RETRACTOR,TRUE
351767,351767-US60-10,DESMARRE VALVE RETRACTOR 4MM,TRUE
351768,351768-US60-10,DESMARRE VALVE RETRACTOR 6MM,TRUE
351769,351769-US60-10,DESMARRE VALVE RETRACTOR 8MM,TRUE
351770,351770-US60-10,DESMARRE VALVE RETRACTOR 10MM,TRUE
351771,351771-US60-10,DESMARRE VALVE RETRACTOR 12MM,TRUE
351772,351772-US60-10,DESMARRE VALVE RETRACTOR 15MM,TRUE
351773,351773-US60-10,CRAWFORD AORTIC RETRACTOR 15MM,TRUE
351774,351774-US60-10,CRAWFORD AORTIC RETRACTOR 22MM,TRUE
351779,351779-US60-10,HENLY POPLITEAL RETRACTOR,TRUE
351783,351783-US60-10,LEMOLE ATRIAL RETRACTOR,TRUE
351784,351784-US60-10,HENLY DEEP CENTER BLADES,TRUE
351785,351785-US60-10,DEBAKEY VALVE HOOK SMALL,TRUE
351788,351788-US60-10,COOLEY MV RET SMALL RIGHT,TRUE
351789,351789-US60-10,COOLEY MV RET MEDIUM RIGHT,TRUE
351790,351790-US60-10,COOLEY MV RET LARGE RIGHT,TRUE
351791,351791-US60-10,COOLEY MV RETRACTOR LEFT,TRUE
351800,351800-US60-10,"DEBAKEY TIS FCPS STR 6"" AG",TRUE
351801,351801-US60-10,"DEBAKEY TIS FCPS THIN 6"" AG",TRUE
